SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
BCO,CF,DI,1,7501022015698,Mirinda RA 2 Lts Pet 0CAL,Refrescos,0.0,23.6
BCO,CF,DI,1,7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,Refrescos,23.6,22.6
BCO,CF,DI,1,7501055305247,Refresco CocaCola 2.5 lt botella No Retornable cola,Refrescos,46.2,21.8
BCO,CF,DI,1,7501055331901,Victoria Manzana 2L NR,Refrescos,68.0,20.8
BCO,CF,DI,1,21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,Refrescos,88.8,15.6
BCO,CF,DI,1,7501073841031,Penafiel Limonada 1lt NR,Refrescos,104.4,8.0
BCO,CF,DI,2,7501073800908,Penafiel Mineral 2 lt NR,Refrescos,0.0,20.6
BCO,CF,DI,2,7501055302925,Refresco CocaCola 2 lt botella No Retornable cola,Refrescos,20.6,20.0
BCO,CF,DI,2,7501055313532,Refresco Coca Cola 1.75L NR,Refrescos,40.6,19.0
BCO,CF,DI,2,7501055361540,CocaCola Original lata 355 ML NR Sleek Can,Refrescos,59.6,17.4
BCO,CF,DI,2,7501055313525,Refresco Coca Cola 1.25 lts No Retornable:Regular,Refrescos,77.0,17.0
BCO,CF,DI,2,7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,Refrescos,94.0,16.8
BCO,CF,DI,2,7501022016169,Sting Fresa 400 Ml Pet 12,Refrescos,110.8,6.2
BCO,CF,DI,3,75007614,Refresco CocaCola 600 ml botella No Retornable cola,Refrescos,0.0,20.7
BCO,CF,DI,3,7501277412433,Agua purificada Taxco 600 ml bote,Refrescos,20.7,14.2
BCO,CF,DI,3,7501055373901,Sprite Lima limon SA 355ml NR,Refrescos,34.9,12.4
BCO,CF,DI,3,7501055302086,Refresco CocaCola 500 ml botella vidrio No Retornable cola,Refrescos,47.3,13.8
BCO,CF,DI,3,7501055320639,Coca Cola SA 600 ml NR,Refrescos,61.1,13.8
BCO,CF,DI,3,7501055305339,Refresco CocaCola 600 ml botella No Retornable cola light,Refrescos,74.9,13.8
BCO,CF,DI,3,7501055311415,Refresco Coca-Cola 450 ml botella No Retornable:cola:light,Refrescos,88.7,13.2
BCO,CF,DI,3,7501055313594,Refresco Coca-Cola 473 ml lata:Cola:regular,Refrescos,101.9,13.2
BCO,CF,DI,4,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,Refrescos,0.0,13.2
BCO,CF,DI,4,75009809,Refresco Coca-Cola 500 ml botella plastico No Retornable cola,Refrescos,13.2,13.2
BCO,CF,DI,4,7501055300075,Refresco CocaCola 355 ml lata,Refrescos,26.4,13.2
BCO,CF,DI,4,7501055332175,Coca Cola Regular Chubby 355ml Pet,Refrescos,39.6,13.0
BCO,CF,DI,4,7501055356256,Coca Cola Sin Azucar Chubby 355ml Pet,Refrescos,52.6,13.0
BCO,CF,DI,4,7501055310968,Refresco Coca-Cola No Retornable 450 ml botella:regular,Refrescos,65.6,13.0
BCO,CF,DI,4,7501055361168,A Mineralizada 600ml 12P,Refrescos,78.6,12.6
BCO,CF,DI,4,7501055329465,REFRESCO COCACOLA ZERO 3 LT BOTELLA NR,Refrescos,91.2,12.5
BCO,CF,DI,4,7501055313068,Coca Cola 3L Ret,Refrescos,103.7,12.0
BCO,CF,DI,5,7501055310876,Refresco Coca Cola Light 3Lts NR,Refrescos,0.0,12.5
BCO,CF,DI,5,7501055335060,Coca Cola 2.75lts,Refrescos,12.5,12.5
BCO,CF,DI,5,7501055339396,Joya Manzana 3L NR,Refrescos,25.0,12.5
BCO,CF,DI,5,7501055339402,Joya Ponche 3L NR,Refrescos,37.5,12.5
BCO,CF,DI,5,7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,Refrescos,50.0,12.5
BCO,CF,DI,5,7501055307043,Refresco Coca-Cola 4 pack 600 ml:regular,Refrescos,62.5,14.0
BCO,CF,DI,5,75005771,Refresco CocaCola 355 ml botella Retornable,Refrescos,76.5,12.4
BCO,CF,DI,5,793573950079,Red Cola 3Lt NR,Refrescos,88.9,12.0
BCO,CF,DI,5,7501071120305,Squirt Toronja 3L NR,Refrescos,100.9,11.8
BCO,CF,DI,6,7501055339419,Escuis Pina 3L NR,Refrescos,0.0,11.7
BCO,CF,DI,6,7501055365395,CocaCola Light lata 355 ML NR Sleek Can,Refrescos,11.7,11.6
BCO,CF,DI,6,7501055305421,Refresco CocaCola 25 lt botella No Retornable light,Refrescos,23.3,11.5
BCO,CF,DI,6,7501055311804,Fresca Toronja 2.5L NR,Refrescos,34.8,11.5
BCO,CF,DI,6,7501055343287,Sidral Mundet Manzana 2.5L NR,Refrescos,46.3,11.5
BCO,CF,DI,6,7501022014646,Seven up Lima limon 3L NR,Refrescos,57.8,11.5
