SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
HOG,CF,ID,1,75007614,REFRESCO COCA-COLA 600 ML BOTELLA NO RETORNABLE COLA,Refrescos,0.0,27.6
HOG,CF,ID,1,7501055332175,COCA COLA REGULAR CHUBBY 355ML PET,Refrescos,27.6,26.0
HOG,CF,ID,1,7501055304745,REFRESCO COCA-COLA 3 LT BOTELLA NO RETORNABLE COLA,Refrescos,53.6,24.6
HOG,CF,ID,1,7501055303540,REFRESCO COCA-COLA 1.5 LT BOTELLA NO RETORNABLE:COLA:REGULAR,Refrescos,78.2,18.4
HOG,CF,ID,1,7501055304813,REFRESCO FRESCA 3 LT BOTELLA NO RETORNABLE:TORONJA,Refrescos,96.6,11.7
HOG,CF,ID,2,7501055320639,COCA COLA SA 600 ML NR,Refrescos,0.0,13.8
HOG,CF,ID,2,75004699,REFRESCO COCA-COLA 500 ML BOTELLA VIDRIO RETORNABLE,Refrescos,13.8,13.4
HOG,CF,ID,2,7501055313594,REFRESCO COCA-COLA 473 ML LATA:COLA:REGULAR,Refrescos,27.2,13.2
HOG,CF,ID,2,7501055310968,REFRESCO COCA-COLA NO RETORNABLE 450 ML BOTELLA:REGULAR,Refrescos,40.4,13.0
HOG,CF,ID,2,7501031310098,REFRESCO PEPSI 3 LT BOTELLA NO RETORNABLE:COLA,Refrescos,53.4,12.5
HOG,CF,ID,2,75005771,REFRESCO COCA-COLA 355 ML BOTELLA RETORNABLE,Refrescos,65.9,12.4
HOG,CF,ID,2,792313000562,REFRESCO JAROCHITO FRESA 3L NR,Refrescos,78.3,12.2
HOG,CF,ID,2,792313001002,REFRESCO ZARAZA VARGAS 3L NR,Refrescos,90.5,12.2
HOG,CF,ID,2,7501071120305,REFRESCO SQUIRT 3 LT BOTELLA NO RETORNABLE TORONJA,Refrescos,102.7,11.8
HOG,CF,ID,3,7501031311644,REFRESCO SABOR COLA PEPSI 1 LTO BOTELLA NO RETORNABLE:REGULAR,Refrescos,0.0,16.0
HOG,CF,ID,3,7501055304806,REFRESCO SPRITE 3 LT BOTELLA NO RETORNABLE LIMA-LIMON,Refrescos,16.0,11.7
HOG,CF,ID,3,7501055354672,COCA-COLA 235ML VNR,Refrescos,27.7,11.6
HOG,CF,ID,3,7501055310227,REFRESCO COCA-COLA 2.5 LT BOTELLA RETORNABLE COLA,Refrescos,39.3,11.5
HOG,CF,ID,3,7501055304790,REFRESCO FANTA 3 LT BOTELLA NO RETORNABLE NARANJA,Refrescos,50.8,11.2
HOG,CF,ID,3,7501055354696,COCA COLA SA 235 ML VNR,Refrescos,62.0,11.0
HOG,CF,ID,3,7501055302925,REFRESCO COCA-COLA 2 LT BOTELLA NO RETORNABLE COLA,Refrescos,73.0,10.4
HOG,CF,ID,3,7501055340002,REFRESCO SIDRAL MUNDET 2LTS. NR PET,Refrescos,83.4,10.4
HOG,CF,ID,3,7501055305742,AGUA MINERAL CIEL 2 LT BOTELLA NO RETORNABLE,Refrescos,93.8,10.4
HOG,CF,ID,3,7501055320660,COCA COLA SA 2 L NR,Refrescos,104.2,10.3
HOG,CF,ID,4,7501073800908,PENAFIEL MINERAL 2 LT NR,Refrescos,0.0,10.3
HOG,CF,ID,4,7501073831988,PENAFIEL MANZANITA 2 LT NR,Refrescos,10.3,10.3
HOG,CF,ID,4,7501073839892,PENAFIEL LIMONADA 2 LT NR,Refrescos,20.6,10.3
HOG,CF,ID,4,7501073839861,PENAFIEL NARANJADA 2 LT NR,Refrescos,30.9,10.3
HOG,CF,ID,4,7501073841949,PENAFIEL PINADA 2 LTS,Refrescos,41.2,10.3
HOG,CF,ID,4,7501055359776,MUNDET SANGRIA 2 LT,Refrescos,51.5,10.04
HOG,CF,ID,4,7501031360161,REFRESCO MANZANITA SOL 2 LT BOTELLA NO RETORNABLE MANZANA,Refrescos,61.54,10.0
HOG,CF,ID,4,7501505630028,REFRESCO SANGRIA CASERA 2L NR,Refrescos,71.54,10.0
HOG,CF,ID,4,7501071120077,REFRESCO SQUIRT 2 LT BOTELLA NO RETORNABLE TORONJA,Refrescos,81.54,10.0
HOG,CF,ID,4,7501055303878,REFRESCO FANTA 2 LT BOTELLA NO RETORNABLE NARANJA,Refrescos,91.54,10.0
HOG,CF,ID,5,7501055303885,REFRESCO FRESCA 2 LT BOTELLA NO RETORNABLE TORONJA,Refrescos,0.0,10.0
HOG,CF,ID,5,7501022014622,REFRESCO 7 UP 2L NR,Refrescos,10.0,10.0
HOG,CF,ID,5,7501031311606,REFRESCO PEPSI 2 LT BOTELLA NO RETORNABLE COLA,Refrescos,20.0,10.0
HOG,CF,ID,5,7501055305650,REFRESCO SPRITE 2 LT BOTELLA NO RETORNABLE LIMA-LIMON,Refrescos,30.0,10.0
HOG,CF,ID,5,7501055305360,REFRESCO COCA-COLA 2 LT BOTELLA NO RETORNABLE COLA LIGHT,Refrescos,40.0,10.0
HOG,CF,ID,5,21136010480,AGUA MINERAL TOPO CHICO 1.5 LT BOTELLA NO RETORNABLE,Refrescos,50.0,9.7
HOG,CF,ID,5,7501441604213,REFRESCO JARRITOS 2 LT NR:TAMARINDO,Refrescos,59.7,9.5
HOG,CF,ID,5,7501055300952,REFRESCO COCA-COLA 1 1/4 LT BOTELLA RETORNABLE,Refrescos,69.2,9.2
HOG,CF,ID,5,7501071120176,REFRESCO SQUIRT 1.5L NR TORONJA,Refrescos,78.4,9.0
HOG,CF,ID,5,7501198355581,DR PEPPER CREAM SODA 600 ML,Refrescos,87.4,8.9
HOG,CF,ID,6,7501055302819,REFRESCO FRESCA 1 LT BOTELLA NO RETORNABLE TORONJA,Refrescos,0.0,8.5
HOG,CF,ID,6,7501055305636,REFRESCO SPRITE 1 LT BOTELLA NO RETORNABLE LIMA-LIMON,Refrescos,8.5,8.5
HOG,CF,ID,6,7501055305346,REFRESCO COCA-COLA 1 LT BOTELLA NO RETORNABLE COLA LIGHT,Refrescos,17.0,8.4
HOG,CF,ID,6,7501055302451,REFRESCO COCA-COLA 1 LT BOTELLA NO RETORNABLE COLA,Refrescos,25.4,8.4
HOG,CF,ID,6,7501022013069,PEPSI BLACK 1.5 LTS,Refrescos,33.8,8.3
HOG,CF,ID,6,7501031311682,REFRESCO PEPSI 1.5 L NR:REGULAR,Refrescos,42.1,8.3
HOG,CF,ID,6,7501073830028,PENAFIEL MINERAL 1 LT NR,Refrescos,50.4,8.0
HOG,CF,ID,6,7501073841024,PENAFIEL NARANJADA 1LT NR,Refrescos,58.4,8.0
HOG,CF,ID,6,7501073839212,PENAFIEL TWIST LIMON 1 LT NR,Refrescos,66.4,8.0
HOG,CF,ID,6,21136010541,AGUA MINERAL TOPO CHICO 600 ML BOTELLA NO RETORNABLE,Refrescos,74.4,7.6
HOG,CF,ID,7,7501055305230,REFRESCO FANTA 600 ML BOTELLA NO RETORNABLE FRESA,Refrescos,0.0,7.1
HOG,CF,ID,7,7501055339983,REFRESCO SIDRAL MUNDET 600ML NR PET,Refrescos,7.1,7.1
HOG,CF,ID,7,7501055359769,MUNDET SANGRIA 600ML,Refrescos,14.2,7.1
HOG,CF,ID,7,7501055304653,REFRESCO DELAWARE PUNCH 600 ML BOTELLA NO RETORNABLE UVA,Refrescos,21.3,7.1
HOG,CF,ID,7,7501055303779,REFRESCO FANTA 600 ML BOTELLA NO RETORNABLE NARANJA,Refrescos,28.4,7.1
HOG,CF,ID,7,7501055303786,REFRESCO FRESCA 600 ML BOTELLA NO RETORNABLE TORONJA,Refrescos,35.5,7.1
HOG,CF,ID,7,7501055305629,REFRESCO SPRITE 600 ML BOTELLA NO RETORNABLE LIMA-LIMON,Refrescos,42.6,7.1
HOG,CF,ID,7,7501055351237,NARANJA&NADA 600ML PET NR,Refrescos,49.7,7.1
HOG,CF,ID,7,7501073845015,SCHWEPPES MINERAL 600ML,Refrescos,56.8,7.0
HOG,CF,ID,7,7501505630073,REFRESCO SANGRIA CASERA 600 ML NO RETORNABLE BOTELLA:UVA,Refrescos,63.8,7.0
HOG,CF,ID,8,792313000715,REFRESCO ZARAZA VARGAS 600ML NR,Refrescos,0.0,7.0
HOG,CF,ID,8,7501055302086,REFRESCO COCA-COLA 500 ML BOTELLA VIDRIO NO RETORNABLE COLA,Refrescos,7.0,6.9
HOG,CF,ID,8,7501055305339,REFRESCO COCA-COLA 600 ML BOTELLA NO RETORNABLE COLA LIGHT,Refrescos,13.9,6.9
HOG,CF,ID,8,7501441610412,JARRITOS TUTTI FRUTTI 600ML.,Refrescos,20.8,6.8
HOG,CF,ID,8,7501022013052,PEPSI BLACK 600ML,Refrescos,27.6,6.8
HOG,CF,ID,8,7501073830509,PENAFIEL MINERAL 600 ML NR,Refrescos,34.4,6.7
HOG,CF,ID,8,7501073831469,PENAFIEL TWIST LIMON 600 ML NR,Refrescos,41.1,6.7
HOG,CF,ID,8,7501073842274,PENAFIEL MINERAL COCO 600 ML NR,Refrescos,47.8,6.7
HOG,CF,ID,8,7501073842007,PENAFIEL TWIST PEPINO LIMON 600 ML NR,Refrescos,54.5,6.7
HOG,CF,ID,8,7501031312559,REFRESCO PEPSI 600 ML BOTELLA NO RETORNABLE COLA LIGHT,Refrescos,61.2,6.7
HOG,CF,ID,9,7501073841925,PENAFIEL PINADA 600ML NR,Refrescos,0.0,6.7
HOG,CF,ID,9,7501073840607,PENAFIEL TORONJADA 600 ML NR,Refrescos,6.7,6.7
