SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,NUM_FRENTES,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
REC,CF,DI,1,75007614,REFRESCO COCA-COLA 600 ML BOTELLA NO RETORNABLE COLA,Refrescos,3,0.0,20.7
REC,CF,DI,1,7501055332175,COCA COLA REGULAR CHUBBY 355ML PET,Refrescos,3,21.2,20.1
REC,CF,DI,1,7501055335060,Coca Cola 2.75lts 8pk,Refrescos,1,41.8,12.5
REC,CF,DI,1,7501031310098,REFRESCO PEPSI 3 LT BOTELLA NO RETORNABLE:COLA,Refrescos,1,54.8,12.5
REC,CF,DI,1,75009809,REFRESCO COCA-COLA 500 ML BOTELLA PLASTICO NO RETORNABLE COLA,Refrescos,2,67.8,13.2
REC,CF,DI,1,7501055339396,REFRESCO JOYA MANZANA 3 LTS NR,Refrescos,1,81.5,12.5
REC,CF,DI,1,793573950079,RED COLA 3LT NR,Refrescos,1,94.5,12.0
REC,CF,DI,1,606110023849,RED COLA 400ML,Refrescos,1,107.0,5.7
REC,CF,DI,2,7501055310968,REFRESCO COCA-COLA NO RETORNABLE 450 ML BOTELLA:REGULAR,Refrescos,2,0.0,13.0
REC,CF,DI,2,7501055302451,REFRESCO COCA-COLA 1 LT BOTELLA NO RETORNABLE COLA,Refrescos,2,13.5,16.8
REC,CF,DI,2,7501055300075,REFRESCO COCA-COLA 355 ML LATA,Refrescos,2,30.8,11.4
REC,CF,DI,2,75004699,REFRESCO COCA-COLA 500 ML BOTELLA VIDRIO RETORNABLE,Refrescos,2,42.7,13.4
REC,CF,DI,2,2170,AGUA MINERAL 355 ML BOTELLA,Refrescos,2,56.6,13.0
REC,CF,DI,2,7501055355310,COCA COLA 250 ML PET NR,Refrescos,2,70.1,11.2
REC,CF,DI,2,75013554,REFRESCO COCA-COLA 355 ML BOTELLA RETORNABLE LIGHT,Refrescos,2,81.8,13.0
REC,CF,DI,2,7501055320622,COCA COLA SA 355 ML LATA,Refrescos,2,95.3,11.4
REC,CF,DI,2,7501055340422,REFRESCO SIDRAL MUNDET 3L NR,Refrescos,1,107.2,11.7
REC,CF,DI,3,7501055304813,REFRESCO FRESCA 3 LT BOTELLA NO RETORNABLE:TORONJA,Refrescos,1,0.0,11.7
REC,CF,DI,3,7501055361540,COCACOLA ORIGINAL LATA 355 ML NR SLEEK CAN,Refrescos,2,12.2,11.6
REC,CF,DI,3,7501022014646,REFRESCO 7 UP 3L NR,Refrescos,1,24.3,11.5
REC,CF,DI,3,7501055311828,REFRESCO SPRITE 2.5 LT BOTELLA NO RETONABLE:LIMA-LIMON,Refrescos,1,36.3,11.5
REC,CF,DI,3,7501055311811,REFRESCO FANTA 2.5 LT BOTELLA NO RETORNABLE:NARANJA,Refrescos,1,48.3,11.5
REC,CF,DI,3,7501055311804,REFRESCO FRESCA 2.5 LT BOTELLA NO RETORNABLE:TORONJA,Refrescos,1,60.3,11.5
REC,CF,DI,3,7501055343287,SIDRAL MUNDET 2.5LT NR,Refrescos,1,72.3,11.5
REC,CF,DI,3,7501055310227,REFRESCO COCA-COLA 2.5 LT BOTELLA RETORNABLE COLA,Refrescos,1,84.3,11.5
REC,CF,DI,3,7501055305421,REFRESCO COCA-COLA 2.5 LT BOTELLA NO RETORNABLE LIGHT,Refrescos,1,96.3,11.5
REC,CF,DI,3,7501055304806,REFRESCO SPRITE 3 LT BOTELLA NO RETORNABLE LIMA-LIMON,Refrescos,1,108.3,11.2
REC,CF,DI,4,7501031360048,MANZANITA SOL 3 LT,Refrescos,1,0.0,11.5
REC,CF,DI,4,7501055314171,REFRESCO JOYA 2.5 LT BOTELLA NO RETORNABLE:PONCHE,Refrescos,1,12.0,11.5
REC,CF,DI,4,7501055314218,REFRESCO JOYA 2.5 LT BOTELLA NO RETORNABLE:MANZANA,Refrescos,1,24.0,11.5
