SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,NUM_FRENTES,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
RET,CF,DI,1,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,Refrescos,4,0.0,26.4
RET,CF,DI,1,7501022015698,Mirinda RA 2 Lts Pet 0CAL,Refrescos,2,26.9,23.6
RET,CF,DI,1,7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,Refrescos,2,51.0,22.6
RET,CF,DI,1,7501055305247,Refresco CocaCola 2.5 lt botella No Retornable cola,Refrescos,2,74.1,21.8
RET,CF,DI,1,7501055302925,Refresco CocaCola 2 lt botella No Retornable cola,Refrescos,2,96.4,20.0
RET,CF,DI,2,7501055349401,Refresco Coca Cola 235ml lata,Refrescos,4,0.0,20.0
RET,CF,DI,2,75007614,Refresco CocaCola 600 ml botella No Retornable cola,Refrescos,3,20.5,20.7
RET,CF,DI,2,7501055313532,Refresco Coca Cola 1.75L NR,Refrescos,2,41.7,19.0
RET,CF,DI,2,7501055361168,A Mineralizada 600ml 12P,Refrescos,3,61.2,18.9
RET,CF,DI,2,7501055361540,CocaCola Original lata 355 ML NR Sleek Can,Refrescos,3,80.6,17.4
RET,CF,DI,2,7501055320646,Coca Cola SA 1 L NR,Refrescos,2,98.5,17.0
RET,CF,DI,3,7501055313525,Refresco Coca Cola 1.25 lts No Retornable:Regular,Refrescos,2,0.0,17.0
RET,CF,DI,3,7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,Refrescos,2,17.5,16.8
RET,CF,DI,3,21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,Refrescos,2,34.8,15.6
RET,CF,DI,3,75005771,Refresco CocaCola 355 ml botella Retornable,Refrescos,2,50.9,12.4
RET,CF,DI,3,7501055305261,Refresco CocaCola 500 ml botella No Retornable cola light,Refrescos,2,63.8,14.0
RET,CF,DI,3,7501055302086,Refresco CocaCola 500 ml botella vidrio No Retornable cola,Refrescos,2,78.3,13.8
RET,CF,DI,3,7501055305339,Refresco CocaCola 600 ml botella No Retornable cola light,Refrescos,2,92.6,13.8
RET,CF,DI,3,7501055355310,Coca Cola 250 ml PET NR,Refrescos,2,106.9,11.2
