SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
SIN,CF,DI,1,7501055332175,COCA COLA REGULAR CHUBBY 355ML PET,Refrescos,0.0,26.0
SIN,CF,DI,1,7501055304745,REFRESCO COCA-COLA 3 LT BOTELLA NO RETORNABLE COLA,Refrescos,26.0,24.6
SIN,CF,DI,1,7501055328154,REFRESCO ESCUIS HIERRO 600ML ED. ESPECIAL,Refrescos,50.6,21.3
SIN,CF,DI,1,75007614,REFRESCO COCA-COLA 600 ML BOTELLA NO RETORNABLE COLA,Refrescos,71.9,20.7
SIN,CF,DI,1,7501055302451,REFRESCO COCA-COLA 1 LT BOTELLA NO RETORNABLE COLA,Refrescos,92.6,16.8
SIN,CF,DI,1,7501031311644,REFRESCO SABOR COLA PEPSI 1 LTO BOTELLA NO RETORNABLE:REGULAR,Refrescos,109.4,8.0
SIN,CF,DI,2,7501055302086,REFRESCO COCA-COLA 500 ML BOTELLA VIDRIO NO RETORNABLE COLA,Refrescos,0.0,13.8
SIN,CF,DI,2,75004699,REFRESCO COCACOLA 500 ML BOTELLA VIDRIO RETORNABLE,Refrescos,13.8,13.4
SIN,CF,DI,2,7501055300075,REFRESCO COCA-COLA 355 ML LATA,Refrescos,27.2,13.2
SIN,CF,DI,2,7501055339402,REFRESCO JOYA PONCHE 3 LTS. NR,Refrescos,40.4,12.5
SIN,CF,DI,2,7501031310098,REFRESCO PEPSI 3 LT BOTELLA NO RETORNABLE:COLA,Refrescos,52.9,12.5
SIN,CF,DI,2,7501055335060,Coca Cola 2.75lts 8pk,Refrescos,65.4,12.5
SIN,CF,DI,2,7501055339396,REFRESCO JOYA MANZANA 3 LTS NR,Refrescos,77.9,12.5
SIN,CF,DI,2,7501055310876,REFRESCO COCA COLA LIGHT 3LTS NR,Refrescos,90.4,12.5
SIN,CF,DI,2,7501055310586,REFRESCO FANTA 3 LT BOTELLA NO RETORNABLE:FRESA,Refrescos,102.9,12.5
SIN,CF,DI,3,792313000562,REFRESCO JAROCHITO FRESA 3L NR,Refrescos,0.0,12.2
SIN,CF,DI,3,792313001002,REFRESCO ZARAZA VARGAS 3L NR,Refrescos,12.2,12.2
SIN,CF,DI,3,7501055313068,Coca Cola 3L Ret,Refrescos,24.4,12.0
SIN,CF,DI,3,793573950079,RED COLA 3LT NR,Refrescos,36.4,12.0
SIN,CF,DI,3,7501055328345,COCA COLA 400ML,Refrescos,48.4,12.0
SIN,CF,DI,3,7501055340422,REFRESCO SIDRAL MUNDET 3L NR,Refrescos,60.4,11.7
SIN,CF,DI,3,7501055304790,REFRESCO FANTA 3 LT BOTELLA NO RETORNABLE NARANJA,Refrescos,72.1,11.7
SIN,CF,DI,3,7501055336630,ESCUIS MANZANA 3L PET NR,Refrescos,83.8,11.7
SIN,CF,DI,3,7501055354672,COCA-COLA 235ML VNR,Refrescos,95.5,11.6
SIN,CF,DI,3,7501055305346,REFRESCO COCACOLA 1 LT BOTELLA NO RETORNABLE COLA LIGHT,Refrescos,107.1,8.4
SIN,CF,DI,4,7501055361540,COCA-COLA ORIGINAL LATA 355 ML NR (SLEEK CAN),Refrescos,0.0,11.6
SIN,CF,DI,4,7501071120305,REFRESCO SQUIRT 3 LT BOTELLA NO RETORNABLE TORONJA,Refrescos,11.6,11.5
SIN,CF,DI,4,7501055314171,REFRESCO JOYA 2.5 LT BOTELLA NO RETORNABLE:PONCHE,Refrescos,23.1,11.5
SIN,CF,DI,4,7501031345083,MIRINDA 3 LTS,Refrescos,34.6,11.5
SIN,CF,DI,4,7501055343287,SIDRAL MUNDET 2.5LT NR,Refrescos,46.1,11.5
SIN,CF,DI,4,7501055312146,REFRESCO FANTA 2.5 LT BOTELLA NO RETORNABLE:FRESA,Refrescos,57.6,11.5
SIN,CF,DI,4,7501055311828,REFRESCO SPRITE 2.5 LT BOTELLA NO RETONABLE:LIMA-LIMON,Refrescos,69.1,11.5
SIN,CF,DI,4,7501055311811,REFRESCO FANTA 2.5 LT BOTELLA NO RETORNABLE:NARANJA,Refrescos,80.6,11.5
SIN,CF,DI,4,7501055311804,REFRESCO FRESCA 2.5 LT BOTELLA NO RETORNABLE:TORONJA,Refrescos,92.1,11.5
SIN,CF,DI,4,7501055305247,REFRESCO COCA-COLA 2.5 LT BOTELLA NO RETORNABLE COLA,Refrescos,103.6,11.5
SIN,CF,DI,5,7501055305421,REFRESCO COCA-COLA 2.5 LT BOTELLA NO RETORNABLE LIGHT,Refrescos,0.0,11.5
SIN,CF,DI,5,7501031360048,MANZANITA SOL 3 LT,Refrescos,11.5,11.5
SIN,CF,DI,5,7501022014646,REFRESCO 7 UP 3L NR,Refrescos,23.0,11.5
SIN,CF,DI,5,7501055368570,COCA COLA ORIGINAL 2.5LT RET,Refrescos,34.5,11.5
SIN,CF,DI,5,7501479300088,REFRESCO MANZANITA DELICIOSA 3 LTS,Refrescos,46.0,11.5
SIN,CF,DI,5,7501055304813,REFRESCO FRESCA 3 LT BOTELLA NO RETORNABLE:TORONJA,Refrescos,57.5,11.2
SIN,CF,DI,5,7501055304806,REFRESCO SPRITE 3 LT BOTELLA NO RETORNABLE LIMA-LIMON,Refrescos,68.7,11.2
SIN,CF,DI,5,7501055310227,REFRESCO COCA-COLA 2.5 LT BOTELLA RETORNABLE COLA,Refrescos,79.9,11.1
SIN,CF,DI,5,7501031345205,REFRESCO MIRINDA 2.5 LTS BOTELLA NO RETORNABLE:NARANJA,Refrescos,91.0,11.0
SIN,CF,DI,5,7501505630080,REFRESCO SANGRIA CASERA 2.5L NR,Refrescos,102.0,11.0
SIN,CF,DI,6,7501031310258,REFRESCO PEPSI 2.5 LT BOTELLA NO RETORNABLE:COLA,Refrescos,0.0,11.0
SIN,CF,DI,6,7501022014639,REFRESCO 7 UP 2.5L NR,Refrescos,11.0,11.0
SIN,CF,DI,6,7501031312771,REFRESCO PEPSI 2.5 LT BOTELLA NO RETORNABLE:COLA:LIGHT,Refrescos,22.0,11.0
SIN,CF,DI,6,7501031360338,REFRESCO MANZANITA SOL 2.5 LTS BOTELLA NO RETORNABLE:MANZANA,Refrescos,33.0,11.0
SIN,CF,DI,6,7501055321919,AGUA CIEL GASIFICADA SIFON 1.75 LT BOTELLA NR,Refrescos,44.0,10.8
SIN,CF,DI,6,7501055328055,REFRESCO ESCUIS MANZANA 2LT NO RETORNABLE,Refrescos,54.8,10.4
